Unique ID,Title,Source,Owner,Status
1,What is scotch,http://www.esquire.com/the-side/food-and-drink/scotch-buying-guide-012712#slide-1,-,needs editing
2,Lowland,http://en.wikipedia.org/wiki/Lowland_Single_Malts,-,needs editing
3,highland,http://en.wikipedia.org/wiki/Highland_Single_Malts,-,needs editing
4,speyside,http://en.wikipedia.org/wiki/Speyside_Single_Malts,-,needs editing
5,island,http://en.wikipedia.org/wiki/Island_Single_Malts,-,needs editing
6,campbeltown,http://en.wikipedia.org/wiki/Campbeltown_Single_Malts,-,needs editing
7,islay,http://en.wikipedia.org/wiki/Islay_whisky,-,needs editing
8,Distilleries,http://en.wikipedia.org/wiki/Scotch_whisky,-,needs editing
9,history,http://www.whisky.com/history.html,-,needs editing
10,how its made,http://www.artofmanliness.com/2009/04/05/the-art-of-manliness-guide-to-scotch-whisky/,-,needs editing
11,single grain,http://en.wikipedia.org/wiki/Grain_whisky,-,needs editing
12,single malt,http://en.wikipedia.org/wiki/Single_malt_Scotch,-,needs editing
13,blended,http://en.wikipedia.org/wiki/Scotch_whisky,-,needs editing
14,single cask,http://en.wikipedia.org/wiki/Scotch_whisky,-,needs editing
15,types,http://www.lochlomonddistillery.com/types-of-scotch.htm,-,needs editing
,,,,
,Proposed URL,Scotland: Scotch and Whiskey,,
